#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
42.148216	3.702612
42.233876	3.633495
42.321228	3.561735
42.410368	3.488720
42.501490	3.410252
42.594790	3.326972
42.690560	3.238154
42.789048	3.144989
42.890660	3.043648
42.995782	2.938650
43.104868	2.826698
43.218534	2.708643
43.337402	2.584099
43.462474	2.449050
43.594844	2.308026
43.735846	2.160120
43.887224	2.003056
44.051346	1.841065
44.231138	1.671665
44.431122	1.493124
44.658714	1.299242
44.928246	1.079852
45.278950	0.807491
45.989710	0.374540
46.638226	0.347932
47.402086	0.696723
47.812250	0.906989
48.135296	1.071375
48.412656	1.215655
48.658888	1.351409
48.881396	1.485120
49.084578	1.618710
49.271354	1.755295
49.444178	1.891045
49.604998	2.025318
49.755546	2.158221
49.897234	2.284031
50.031524	2.403336
50.159408	2.516697
50.281800	2.622627
50.399464	2.723247
50.513050	2.813434
50.623170	2.897026
50.730274	2.972685
50.834842	3.040290
50.937232	3.098645
51.037802	3.151678
51.136716	3.200742
51.234120	3.250955
51.330000	3.302698
51.424338	3.356761
51.517142	3.414849
51.608244	3.480372
51.697664	3.547337
51.785362	3.617929
51.871348	3.691475
51.955642	3.762116
52.038396	3.833361
52.119616	3.904249
52.199422	3.970467
52.277920	4.035858
52.355198	4.096269
52.431376	4.154227
52.506532	4.207190
52.580804	4.255171
52.654290	4.296019
52.727112	4.333949
52.799306	4.369027
52.870926	4.404308
52.941960	4.441292
53.012376	4.480309
53.082184	4.521709
53.151272	4.570121
53.219646	4.619582
53.287268	4.672069
53.354122	4.728181
53.420184	4.781142
53.485532	4.835749
53.550132	4.891161
53.614040	4.941787
53.677280	4.994583
53.739888	5.041714
53.801924	5.088753
53.863398	5.132147
53.924388	5.172368
53.984934	5.205622
54.045114	5.236861
54.104942	5.264768
54.164462	5.292084
54.223662	5.321847
54.282520	5.351764
54.341050	5.384603
54.399168	5.423459
54.456886	5.463069
54.514168	5.505192
54.571006	5.551694
54.627364	5.593805
54.683308	5.639392
54.738780	5.687376
54.793820	5.729488
54.848440	5.774774
54.902646	5.816041
54.956478	5.858120
55.009934	5.895719
55.063070	5.931114
55.115902	5.961729
55.168480	5.990147
55.220822	6.013999
55.272958	6.037577
55.324884	6.063212
55.376582	6.089066
55.428068	6.116094
55.479280	6.149616
55.530228	6.183264
55.580890	6.219251
55.631244	6.259898
55.681272	6.296029
55.731022	6.335900
55.780440	6.378350
55.829552	6.415603
55.878368	6.456477
55.926888	6.492772
55.975138	6.530835
56.023112	6.566325
56.070846	6.598598
56.118358	6.625876
56.165684	6.652252
56.212834	6.673449
56.259836	6.694780
56.306684	6.717111
56.353370	6.740458
56.399906	6.763094
56.446238	6.794102
56.492382	6.823319
56.538318	6.854583
56.584032	6.891573
56.629500	6.923773
56.674766	6.958740
56.719784	6.998112
56.764574	7.030688
56.809140	7.068336
56.853480	7.101891
56.897610	7.137388
56.941526	7.169312
56.985258	7.200533
57.028808	7.226371
57.072212	7.251726
57.115478	7.270522
57.158628	7.290431
57.201664	7.310450
57.244574	7.330920
57.287372	7.352194
57.330010	7.379481
57.372512	7.405225
57.414854	7.433259
57.457028	7.466827
57.499010	7.495688
57.540834	7.529101
57.582474	7.561721
57.623976	7.580697
57.665388	7.594625
57.706766	7.592056
57.748188	7.581429
57.789692	7.558446
57.831358	7.525494
57.873218	7.483903
57.915326	7.440653
57.957684	7.391983
58.000320	7.346005
58.043230	7.297544
58.086414	7.250722
58.129888	7.204166
58.173606	7.165061
58.217578	7.123793
58.261794	7.086512
58.306238	7.053102
58.350892	7.013423
58.395800	6.980076
58.440908	6.948889
58.486240	6.911891
58.531802	6.878898
58.577594	6.842341
58.623630	6.807351
58.669910	6.769215
58.716464	6.729196
58.763310	6.683102
58.810492	6.636513
58.858022	6.582836
58.905942	6.530020
58.954246	6.478312
59.002932	6.426102
59.052022	6.375244
59.101458	6.331303
59.151258	6.285951
59.201408	6.243229
59.251886	6.205493
59.302672	6.163128
59.353812	6.125156
59.405248	6.089774
59.457014	6.048969
59.509116	6.011007
59.561562	5.969432
59.614380	5.927981
59.667576	5.883793
59.721202	5.835487
59.775284	5.782214
59.829894	5.726563
59.885052	5.664814
59.940812	5.604382
59.997178	5.543661
60.054150	5.484241
60.111758	5.424770
60.169934	5.372448
60.228700	5.320225
60.288024	5.270952
60.347890	5.225884
60.408276	5.176800
60.469238	5.131644
60.530716	5.088423
60.592754	5.040905
60.655360	4.995536
60.718576	4.945209
60.782446	4.893599
60.847012	4.838877
60.912358	4.779251
60.978564	4.712860
61.045748	4.642107
61.113984	4.566932
61.183370	4.490556
61.253928	4.415450
61.325684	4.341135
61.398686	4.267888
61.472860	4.200889
61.548240	4.135525
61.624786	4.073114
61.702482	4.015123
61.781308	3.954773
61.861356	3.896404
61.942602	3.838044
62.025146	3.775953
62.109064	3.713028
62.194492	3.644116
62.281612	3.571534
62.370596	3.492366
62.461752	3.405447
62.555402	3.308124
62.651976	3.203811
62.751844	3.092423
62.855438	2.977869
62.963138	2.861195
63.075334	2.743653
63.192428	2.627497
63.314630	2.516536
63.442346	2.407757
63.575926	2.300724
63.715922	2.193635
63.863040	2.082456
64.018468	1.968490
64.183492	1.848213
64.360256	1.718408
64.552156	1.574007
64.765300	1.401321
65.012072	1.190809
65.328102	0.902212
65.913906	0.443450
66.509954	0.409710
67.135704	0.810098
67.486264	1.082860
67.756866	1.284443
67.989002	1.449502
68.197286	1.585542
68.388938	1.704571
68.568052	1.812116
68.737216	1.910340
68.898060	2.000938
69.052038	2.084528
69.199948	2.166885
69.342340	2.249071
69.479552	2.331423
69.611930	2.418135
69.739540	2.507817
69.862632	2.599322
69.981444	2.692763
70.096172	2.786582
70.207170	2.877971
70.314746	2.966341
70.419288	3.048018
70.521158	3.123042
70.620716	3.191443
70.718186	3.256684
70.813808	3.316225
70.907756	3.373993
71.000158	3.426768
71.091182	3.478522
71.180822	3.529879
71.269264	3.576494
71.356508	3.625696
71.442574	3.675839
71.527452	3.725268
71.611184	3.779860
71.693674	3.836919
71.774938	3.895245
71.854970	3.956367
71.933750	4.019541
72.011328	4.081369
72.087744	4.141958
72.163090	4.199204
72.237436	4.253097
72.310890	4.302962
72.383488	4.352442
72.455314	4.396418
72.526420	4.441292
72.596842	4.481459
72.666648	4.521188
72.735806	4.562290
72.804408	4.598485
72.872444	4.636900
72.939914	4.676242
73.006802	4.714982
73.073126	4.759556
73.138812	4.805716
73.203864	4.853080
73.268274	4.902304
73.332024	4.953631
73.395146	5.002058
73.457652	5.049980
73.519596	5.094860
73.581000	5.138191
73.641916	5.178165
73.702356	5.217726
73.762358	5.254202
73.821940	5.292440
73.881116	5.325455
73.939934	5.358885
73.998352	5.394589
74.056432	5.424957
74.114164	5.458513
74.171542	5.492679
74.228556	5.525331
74.285222	5.563886
74.341488	5.602983
74.397358	5.642634
74.452828	5.684906
74.507876	5.729070
74.562520	5.770531
74.616768	5.811522
74.670654	5.850266
74.724184	5.887101
74.777404	5.920830
74.830304	5.956303
74.882912	5.987636
74.935232	6.022530
74.987272	6.051066
75.039072	6.080580
75.090588	6.112999
75.141876	6.139761
75.192922	6.169421
75.243718	6.200593
75.294254	6.229611
75.344548	6.264642
75.394548	6.301333
75.444262	6.336922
75.493688	6.376020
75.542806	6.415603
75.591640	6.452234
75.640198	6.487677
75.688530	6.515664
75.736688	6.533008
75.784784	6.535998
75.832884	6.529206
75.881092	6.505949
75.929538	6.470840
75.978256	6.425313
76.027362	6.373950
76.076820	6.326713
76.126692	6.273399
76.176966	6.225167
76.227630	6.177185
76.278690	6.126590
76.330162	6.081522
76.382008	6.036881
76.434242	5.992661
76.486848	5.950888
76.539818	5.911027
76.593170	5.867310
76.646912	5.823588
76.701084	5.776898
76.755690	5.729279
76.810778	5.678535
76.866344	5.629287
76.922420	5.575736
76.979032	5.524748
77.036198	5.467062
77.093972	5.410569
77.152326	5.355048
77.211342	5.293867
77.271018	5.235290
77.331374	5.177994
77.392368	5.117434
77.454114	5.063981
77.516468	5.010035
77.579514	4.957226
77.643220	4.906285
77.707564	4.857883
77.772590	4.806304
77.838306	4.755090
77.904766	4.701153
77.971988	4.645540
78.040082	4.585062
78.109062	4.524053
78.179026	4.458563
78.250032	4.392239
78.322154	4.321073
78.395496	4.248726
78.470072	4.176206
78.546040	4.097658
78.623458	4.020055
78.702392	3.942069
78.782898	3.862392
78.865058	3.786968
78.948834	3.713554
79.034272	3.641497
79.121386	3.572427
79.210180	3.504286
79.300760	3.434711
79.393208	3.363446
79.487724	3.287560
79.584500	3.207605
79.683834	3.122049
79.785988	3.032250
79.891396	2.933874
80.000528	2.829397
80.113938	2.716748
80.232348	2.597689
80.356526	2.470039
80.487658	2.331631
80.627026	2.187586
80.776226	2.036715
80.937380	1.876429
81.113500	1.709338
81.308694	1.531737
81.529928	1.338945
81.790628	1.118936
82.125486	0.847645
82.944002	0.340769
83.567072	0.300172
84.482176	0.652533
84.917912	0.857192
85.258512	1.022707
85.548122	1.169417
85.803256	1.309455
86.032234	1.448807
86.239870	1.589553
86.429916	1.728867
86.605172	1.867217
86.767920	2.004436
86.920054	2.134582
87.063418	2.257800
87.199312	2.373163
87.328922	2.481040
87.453158	2.582739
87.572796	2.674288
87.688554	2.758590
87.800958	2.834758
87.910568	2.902057
88.017818	2.959133
88.123104	3.011092
88.226634	3.058642
88.328564	3.106244
88.428908	3.155857
88.527630	3.208064
88.624710	3.264806
88.719982	3.328734
88.813438	3.395289
88.905034	3.465094
88.994776	3.538706
89.082672	3.609284
89.168894	3.680749
89.253440	3.752231
89.336442	3.819658
89.417994	3.886955
89.498204	3.948113
89.577212	4.007031
89.655112	4.060059
89.732062	4.108053
89.808166	4.148960
89.883556	4.187004
89.958282	4.221323
90.032400	4.256439
90.105898	4.292497
90.178758	4.330245
90.250980	4.370486
90.322454	4.417561
90.393182	4.466677
90.463106	4.518847
90.532204	4.575846
90.600448	4.629248
90.667924	4.684889
90.734584	4.741168
90.800494	4.793105
90.865678	4.847090
90.930172	4.895734
90.994040	4.944276
91.057300	4.988397
91.120036	5.029123
91.182292	5.063981
91.244146	5.095852
91.305626	5.123944
91.366770	5.152348
91.427566	5.182607
91.487998	5.213569
91.548072	5.246656
91.607706	5.286563
91.666914	5.326178
91.725660	5.368959
91.783922	5.416539
91.841668	5.461550
91.898958	5.508474
91.955774	5.552087
92.012230	5.581283
92.068448	5.599388
92.124580	5.597792
92.180812	5.581085
92.237288	5.547577
92.294180	5.500758
92.351608	5.441872
92.409684	5.379624
92.468438	5.314105
92.527936	5.248058
92.588176	5.182949
92.649176	5.117434
92.710950	5.054855
92.773430	4.999034
92.836626	4.943964
92.900502	4.892380
92.965042	4.844548
93.030220	4.793544
93.096100	4.745465
93.162634	4.698341
93.229870	4.647601
93.297838	4.598081
93.366578	4.543419
93.436166	4.487733
93.506662	4.426774
93.578192	4.360416
93.650868	4.286991
93.724854	4.208768
93.800258	4.125640
93.877204	4.042089
93.955750	3.959159
94.035944	3.876499
94.117864	3.795844
94.201430	3.721384
94.286700	3.648518
94.373638	3.579265
