#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 15:36:10 2017
#Time	Angular velocity
#[s]	[rad/s]
28.800324	9.179502
28.834544	9.178965
28.868774	9.176284
28.903010	9.176820
28.937246	9.175212
28.971482	9.176284
29.005720	9.177356
29.039966	9.169856
29.074232	9.167715
29.108514	9.159162
29.142830	9.152758
29.177164	9.144765
29.211536	9.137318
29.245920	9.133599
29.280338	9.125109
29.314772	9.119282
29.349234	9.111876
29.383724	9.109762
29.418220	9.101845
29.452740	9.098681
29.487288	9.090257
29.521844	9.090783
29.556404	9.088679
29.590976	9.087627
29.625546	9.086050
29.660118	9.087101
29.694694	9.087101
29.729276	9.081322
29.763880	9.078173
29.798498	9.070834
29.833148	9.063507
29.867822	9.055147
29.902534	9.048887
29.937254	9.043157
29.972016	9.036394
30.006788	9.030160
30.041590	9.022380
30.076422	9.021343
30.111258	9.012027
30.146122	9.008409
30.181020	9.000151
30.215922	8.998604
30.250834	8.998604
30.285752	8.996543
30.320670	8.996027
30.355590	8.996543
30.390512	8.997573
30.425440	8.991393
30.460390	8.987277
30.495360	8.979571
30.530360	8.973415
30.565384	8.964709
30.600444	8.958574
30.635518	8.952447
30.670628	8.945819
30.705756	8.939201
30.740914	8.930561
30.776104	8.929038
30.811298	8.920418
30.846518	8.918392
30.881770	8.909287
30.917026	8.909287
30.952290	8.907266
30.987566	8.905751
31.022842	8.904741
31.058118	8.905246
31.093402	8.905246
31.128688	8.900704
31.163994	8.896672
31.199318	8.889623
31.234674	8.883590
31.270052	8.874556
31.305468	8.868042
31.340900	8.863039
31.376364	8.856043
31.411848	8.849058
31.447364	8.841089
31.482910	8.839597
31.518462	8.830652
31.554044	8.826682
31.589660	8.817763
31.625282	8.817763
31.660916	8.815289
31.696556	8.814794
31.732198	8.812816
31.767844	8.812816
31.803500	8.811827
31.839164	8.804912
31.874854	8.800966
31.910568	8.792099
31.946316	8.785214
31.982090	8.775889
32.017908	8.769030
32.053738	8.763159
32.089610	8.756320
32.125498	8.748518
32.161422	8.740729
32.197378	8.738783
32.233336	8.731012
32.269326	8.726646
32.305348	8.718896
32.341378	8.717445
32.377420	8.715026
32.413472	8.714059
32.449526	8.712126
32.485580	8.713576
32.521638	8.714543
32.557698	8.709228
32.593780	8.705366
32.629880	8.699099
32.666012	8.691879
32.702170	8.683230
32.738368	8.676515
32.774580	8.671247
32.810832	8.664072
32.847102	8.657387
32.883404	8.649283
32.919742	8.646427
32.956086	8.637868
32.992464	8.634070
33.028874	8.625062
33.065294	8.624589
33.101722	8.622695
33.138162	8.621748
33.174598	8.620802
33.211040	8.620329
33.247486	8.621748
33.283934	8.616073
33.320406	8.612766
33.356896	8.605689
33.393418	8.599564
33.429966	8.590158
33.466554	8.584525
33.503156	8.578899
33.539800	8.570941
33.576464	8.563465
33.613166	8.555536
33.649898	8.553206
33.686640	8.545761
33.723410	8.540650
33.760220	8.531836
33.797038	8.530909
33.833870	8.527667
33.870714	8.526742
33.907556	8.526279
33.944400	8.526742
33.981246	8.528130
34.018094	8.522578
34.054966	8.519804
34.091854	8.512417
34.128776	8.506424
34.165720	8.498141
34.202712	8.490791
34.239714	8.485745
