#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
39.759172	8.436070
39.796304	8.485287
39.833224	8.535081
39.869930	8.581711
39.906438	8.630275
39.942744	8.674599
39.978864	8.722769
40.014780	8.769030
40.050518	8.815784
40.086054	8.862539
40.121414	8.906256
40.156602	8.955509
40.191588	8.999120
40.226404	9.047845
40.261052	9.090257
40.295514	9.139976
40.329796	9.187018
40.363904	9.236175
40.397828	9.284764
40.431574	9.333312
40.465148	9.383491
40.498554	9.425721
40.531808	9.469474
40.564912	9.510755
40.597872	9.553560
40.630684	9.593235
40.663366	9.635605
40.695890	9.678351
40.728286	9.720274
40.760532	9.763169
40.792642	9.803385
40.824622	9.849488
40.856450	9.888551
40.888144	9.933576
40.919716	9.972044
40.951144	10.018473
40.982432	10.062757
41.013586	10.107434
41.044598	10.151198
41.075476	10.196666
41.106222	10.242543
41.136840	10.278735
41.167346	10.317895
41.197740	10.354623
41.228028	10.392301
41.258200	10.428870
41.288272	10.468486
41.318222	10.506296
41.348072	10.546504
41.377804	10.584168
41.407430	10.622101
41.436954	10.666823
41.466348	10.703893
41.495640	10.744896
41.524838	10.780292
41.553916	10.824120
41.582884	10.865299
41.611746	10.906793
41.640494	10.947842
41.669136	10.988432
41.697674	11.031648
41.726110	11.064283
41.754460	11.098681
41.782726	11.130926
41.810906	11.166534
41.838996	11.198377
41.867008	11.235222
41.894920	11.271501
41.922752	11.307201
41.950488	11.344766
41.978134	11.380108
42.005696	11.423143
42.033152	11.457304
42.060524	11.495875
42.087818	11.529627
42.115014	11.571244
42.142116	11.610587
42.169130	11.651063
42.196048	11.689212
42.222878	11.728487
42.249622	11.769791
42.276282	11.797194
42.302884	11.825614
42.329434	11.841661
42.355962	11.847020
42.382494	11.836307
42.409070	11.813163
42.435700	11.779500
42.462422	11.737251
42.489240	11.690952
42.516160	11.646744
42.543180	11.612304
42.570284	11.566983
42.597490	11.527088
42.624812	11.474880
42.652236	11.433120
42.679762	11.391662
42.707390	11.352145
42.735112	11.312086
42.762934	11.271501
42.790862	11.229599
42.818906	11.175273
42.847082	11.125408
42.875382	11.075205
42.903808	11.029324
42.932354	10.979983
42.961034	10.931081
42.989832	10.884121
43.018766	10.834573
43.047824	10.786214
43.077010	10.739019
43.106330	10.697333
43.135758	10.650189
43.165322	10.603458
43.195030	10.549337
43.224868	10.505593
43.254834	10.460817
43.284932	10.417803
43.315154	10.371031
43.345514	10.324677
43.376016	10.277390
43.406664	10.223876
43.437468	10.173551
43.468428	10.120458
43.499554	10.068562
43.530840	10.012087
43.562308	9.958136
43.593932	9.906637
43.625732	9.855049
43.657692	9.802773
43.689828	9.748022
43.722148	9.698070
43.754630	9.642111
43.787298	9.590892
43.820156	9.535003
43.853188	9.484912
43.886400	9.433079
43.919800	9.380689
43.953380	9.328877
43.987148	9.277635
44.021106	9.228578
44.055258	9.168785
44.089632	9.111876
44.124220	9.053581
44.159032	8.996543
44.194070	8.934624
44.229354	8.876060
44.264860	8.817268
44.300618	8.756809
44.336614	8.697654
44.372862	8.635019
44.409378	8.577493
44.446136	8.512417
44.483174	8.452412
44.520492	8.387870
44.558072	8.329160
44.595930	8.268655
44.634062	8.209022
44.672472	8.149397
44.711160	8.090633
44.750136	8.032299
44.789408	7.967519
44.828998	7.904571
44.868912	7.837914
44.909168	7.771603
44.949772	7.701870
44.990748	7.634119
45.032082	7.566092
45.073810	7.494615
45.115924	7.423423
45.158456	7.349786
45.201422	7.278945
45.244810	7.200863
45.288664	7.126378
45.333004	7.048038
45.377804	6.975736
45.423082	6.901566
45.468848	6.828362
45.515104	6.755823
45.561856	6.683102
45.609126	6.611652
45.656922	6.535182
45.705286	6.458070
45.754236	6.378868
45.803810	6.298049
45.854030	6.213102
45.904950	6.129219
45.956576	6.042222
46.008980	5.950888
46.062182	5.859650
46.116242	5.764390
46.171218	5.669926
46.227116	5.570397
46.284030	5.471252
46.342012	5.368775
46.401080	5.269537
46.461274	5.169644
