#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:21:51 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.666	506	28.691	510
28.717	489	28.743	511
28.767	469	28.793	509
28.818	448	28.844	510
28.869	427	28.894	511
28.920	408	28.945	511
28.970	390	28.996	512
29.021	375	29.047	512
29.071	363	29.097	513
29.123	355	29.148	513
29.173	352	29.198	513
29.224	353	29.250	513
29.274	358	29.300	512
29.325	368	29.351	511
29.375	381	29.401	513
29.427	398	29.452	512
29.477	416	29.502	512
29.528	436	29.554	512
29.578	457	29.604	511
29.629	476	29.655	511
29.680	495	29.705	511
29.731	510	29.756	511
29.781	522	29.807	511
29.832	530	29.858	511
29.882	533	29.908	511
29.934	532	29.959	511
29.984	527	30.009	511
30.035	516	30.061	513
30.085	503	30.111	511
30.136	487	30.162	511
30.186	467	30.212	511
30.238	447	30.263	512
30.288	426	30.313	512
30.339	408	30.365	512
30.389	390	30.415	512
30.440	374	30.466	512
30.491	363	30.516	513
30.542	355	30.567	513
30.592	352	30.618	512
30.643	353	30.669	513
30.693	359	30.719	512
30.745	369	30.770	510
30.795	383	30.820	512
30.846	400	30.872	511
30.896	418	30.922	511
30.947	439	30.973	510
30.997	460	31.023	511
31.049	479	31.074	510
31.099	496	31.124	511
31.150	512	31.176	510
31.200	522	31.226	510
31.251	530	31.277	511
31.303	532	31.327	510
31.353	530	31.378	511
31.404	524	31.429	512
31.454	514	31.480	512
31.505	499	31.530	513
31.556	483	31.581	512
31.607	464	31.631	512
31.657	443	31.683	512
31.708	424	31.733	512
31.758	405	31.784	512
31.810	387	31.834	512
31.860	373	31.885	511
31.911	363	31.935	511
31.961	356	31.987	511
32.012	354	32.037	511
32.062	356	32.088	510
32.114	362	32.138	511
32.164	374	32.189	511
32.215	387	32.240	511
32.265	404	32.291	510
32.316	422	32.341	511
32.367	443	32.392	511
32.418	462	32.442	511
32.468	481	32.494	511
32.519	498	32.544	512
32.569	511	32.595	512
32.621	522	32.645	512
32.671	528	32.696	512
32.722	530	32.746	513
32.772	527	32.798	512
32.823	521	32.848	511
32.873	509	32.899	511
32.925	495	32.949	511
32.975	478	33.000	511
33.026	460	33.051	511
33.076	441	33.102	511
33.127	421	33.152	511
33.178	402	33.203	510
33.229	386	33.253	511
33.279	373	33.305	511
33.330	364	33.355	510
33.380	358	33.406	511
33.432	356	33.456	510
33.482	359	33.507	511
33.533	366	33.557	511
33.583	377	33.609	511
33.634	390	33.659	511
33.684	407	33.710	512
33.736	426	33.760	512
33.786	445	33.811	512
33.837	465	33.862	513
33.887	482	33.913	512
33.938	498	33.963	512
33.989	512	34.014	513
34.040	521	34.064	512
34.090	526	34.116	512
34.141	528	34.166	512
34.191	525	34.217	511
34.243	518	34.267	511
34.293	506	34.318	511
34.344	491	34.368	511
34.394	475	34.420	511
34.445	458	34.471	510
34.495	439	34.521	512
34.547	419	34.572	511
34.597	402	34.622	512
34.648	388	34.674	513
34.698	375	34.724	513
34.749	366	34.775	512
34.800	359	34.825	512
34.851	359	34.876	512
34.901	362	34.927	510
34.952	369	34.978	511
35.002	378	35.028	510
35.054	393	35.079	510
35.104	408	35.129	510
35.155	427	35.181	510
35.205	445	35.231	509
35.256	463	35.282	511
35.306	481	35.332	510
35.358	497	35.383	511
35.408	510	35.433	511
35.459	520	35.485	512
35.509	525	35.535	510
35.560	526	35.586	512
35.611	523	35.636	512
35.662	516	35.687	512
35.712	505	35.738	512
35.763	492	35.789	512
35.813	475	35.839	512
35.865	455	35.890	512
35.915	438	35.940	511
35.966	418	35.992	511
36.016	400	36.042	509
36.067	385	36.093	510
36.117	372	36.143	510
36.169	364	36.194	511
36.219	359	36.244	511
36.270	358	36.296	510
36.320	363	36.346	511
36.371	370	36.397	511
36.422	381	36.447	511
36.473	397	36.498	512
36.523	414	36.549	511
36.574	431	36.600	512
36.624	450	36.650	511
36.676	469	36.701	512
36.726	484	36.751	512
36.777	500	36.803	511
36.827	512	36.853	512
36.878	519	36.904	510
36.928	523	36.954	512
36.980	524	37.005	512
37.030	518	37.055	512
37.081	511	37.107	512
37.131	499	37.157	512
37.182	486	37.208	513
37.233	470	37.258	512
37.284	452	37.309	513
37.334	435	37.360	512
37.385	417	37.411	512
37.435	400	37.461	512
37.487	386	37.512	511
37.537	376	37.562	510
37.588	367	37.614	510
37.638	363	37.664	510
37.689	363	37.715	510
37.739	367	37.765	511
37.791	376	37.816	511
37.841	386	37.866	512
37.892	399	37.918	511
37.942	416	37.968	513
37.993	433	38.019	512
38.044	451	38.069	512
38.095	468	38.120	512
38.146	485	38.171	512
38.196	498	38.222	511
38.247	510	38.272	511
38.298	518	38.323	511
38.349	521	38.373	511
38.399	521	38.425	511
38.450	517	38.475	512
38.500	510	38.526	510
38.552	498	38.576	512
38.602	485	38.627	511
38.653	468	38.677	512
38.703	450	38.729	511
38.754	434	38.779	512
38.804	416	38.830	511
38.856	399	38.880	511
38.906	386	38.931	511
38.957	374	38.982	511
39.007	367	39.033	511
39.058	364	39.083	511
39.109	364	39.134	512
39.160	369	39.184	511
39.210	375	39.236	512
39.261	388	39.286	512
39.311	402	39.337	512
39.363	418	39.387	513
39.413	436	39.438	512
39.464	453	39.488	511
39.514	471	39.540	512
39.565	486	39.590	512
39.615	500	39.641	511
39.667	510	39.691	511
39.717	516	39.742	511
39.768	520	39.793	511
39.818	520	39.844	511
39.869	515	39.894	510
39.920	507	39.945	512
39.971	494	39.995	510
40.021	480	40.047	511
40.072	464	40.097	512
40.122	446	40.148	512
40.174	431	40.198	512
40.224	413	40.249	511
40.275	398	40.299	511
40.325	385	40.351	511
40.376	376	40.401	512
40.426	368	40.452	512
40.478	366	40.502	512
40.528	367	40.553	512
40.579	373	40.604	511
40.629	380	40.655	512
40.680	391	40.705	512
40.731	406	40.756	512
40.782	421	40.806	513
40.832	439	40.858	511
40.883	455	40.908	512
40.933	472	40.959	512
40.985	488	41.009	512
41.035	499	41.060	511
41.086	509	41.110	511
41.136	516	41.162	511
41.187	518	41.213	512
41.237	517	41.263	512
41.289	512	41.314	510
41.339	503	41.364	512
41.390	492	41.416	511
41.440	478	41.466	513
41.491	461	41.517	512
41.542	446	41.567	512
41.593	428	41.618	511
41.643	413	41.669	512
41.694	397	41.720	512
41.744	385	41.770	511
41.796	376	41.821	512
41.846	370	41.871	511
41.897	368	41.923	512
41.947	369	41.973	512
41.998	374	42.024	512
42.048	383	42.074	511
42.100	395	42.125	511
42.150	408	42.175	510
42.201	424	42.227	511
42.251	440	42.277	511
42.302	458	42.328	511
42.353	472	42.378	511
42.404	487	42.429	511
42.454	500	42.480	513
42.505	509	42.531	511
42.555	515	42.581	512
42.607	516	42.632	512
42.657	515	42.682	512
42.708	510	42.734	512
42.758	500	42.784	512
42.809	489	42.835	512
42.859	475	42.885	511
42.911	459	42.936	512
42.961	443	42.986	512
43.012	426	43.038	511
43.062	411	43.088	512
43.113	397	43.139	511
43.164	385	43.189	512
43.215	376	43.240	511
43.265	371	43.291	511
43.316	369	43.342	512
43.366	372	43.392	511
43.418	377	43.443	511
43.468	386	43.493	511
43.519	398	43.545	511
43.569	412	43.595	512
43.620	426	43.646	511
43.670	444	43.696	512
43.722	460	43.747	512
