#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
46.204	468	46.230	589
46.256	464	46.281	587
46.306	461	46.331	585
46.357	457	46.383	579
46.407	456	46.433	579
46.458	456	46.484	577
46.509	457	46.534	577
46.560	456	46.585	578
46.610	461	46.635	580
46.661	464	46.687	582
46.711	467	46.737	585
46.762	471	46.788	588
46.813	477	46.838	592
46.864	482	46.889	597
46.915	486	46.940	600
46.965	490	46.991	603
47.016	493	47.041	607
47.067	496	47.092	610
47.118	498	47.142	610
47.168	498	47.194	611
47.219	497	47.244	611
47.269	496	47.295	612
47.321	494	47.345	609
47.371	489	47.396	607
47.422	484	47.446	603
47.472	482	47.498	600
47.523	477	47.548	596
47.573	473	47.599	594
47.625	468	47.649	592
47.675	465	47.700	587
47.726	461	47.751	585
47.776	459	47.802	582
47.827	458	47.852	580
47.878	458	47.903	580
47.929	460	47.953	581
47.979	461	48.005	580
48.030	462	48.055	582
48.080	465	48.106	585
48.132	470	48.156	586
48.182	474	48.207	590
48.233	478	48.258	594
48.283	482	48.309	596
48.334	486	48.359	599
48.384	489	48.410	603
48.436	493	48.460	605
48.486	494	48.511	606
48.537	494	48.562	608
48.587	496	48.613	609
48.638	494	48.663	608
48.689	492	48.714	608
48.740	491	48.764	606
48.790	487	48.816	605
48.841	484	48.866	601
48.891	480	48.917	599
48.943	476	48.967	597
48.993	472	49.018	593
49.044	468	49.069	590
49.094	466	49.120	588
49.145	463	49.170	586
49.195	461	49.221	584
49.247	462	49.271	583
49.297	460	49.322	582
49.348	460	49.373	582
49.398	463	49.424	582
49.449	465	49.474	585
49.500	469	49.525	588
49.551	472	49.575	588
49.601	476	49.627	590
49.652	478	49.677	593
49.702	483	49.728	596
49.754	486	49.778	600
49.804	488	49.829	602
49.855	491	49.880	603
49.905	492	49.931	605
49.956	494	49.982	605
50.006	493	50.032	607
50.058	491	50.083	608
50.108	490	50.133	607
50.159	487	50.185	606
50.209	485	50.235	603
50.260	482	50.286	601
50.311	478	50.336	600
50.362	474	50.387	596
50.412	470	50.438	595
50.463	467	50.489	592
50.513	466	50.539	588
50.565	465	50.590	587
50.615	464	50.640	587
50.666	464	50.692	584
50.716	464	50.742	584
50.767	464	50.793	585
50.818	465	50.843	584
50.869	468	50.894	586
50.919	472	50.944	587
50.970	473	50.996	589
51.020	477	51.046	590
51.071	481	51.097	595
51.122	482	51.147	597
51.173	486	51.198	599
51.223	488	51.249	603
51.274	489	51.300	604
51.324	491	51.350	604
51.376	490	51.401	604
51.426	489	51.451	606
51.477	490	51.503	604
51.527	486	51.553	603
51.578	486	51.604	604
51.629	483	51.654	602
51.680	478	51.705	599
51.730	475	51.755	598
51.781	474	51.807	595
51.831	470	51.857	591
51.882	468	51.908	592
51.933	467	51.958	590
51.984	465	52.009	589
52.034	464	52.060	587
52.085	465	52.111	587
52.135	467	52.161	585
52.187	467	52.212	586
52.237	470	52.262	588
52.288	471	52.314	587
52.338	474	52.364	590
52.389	475	52.415	592
52.440	478	52.465	592
52.491	481	52.516	595
52.541	484	52.566	598
52.592	485	52.618	599
52.642	487	52.668	600
52.693	488	52.719	602
52.744	487	52.769	603
52.795	486	52.820	603
52.845	488	52.871	603
52.896	486	52.922	603
52.946	485	52.972	603
52.998	482	53.023	600
53.048	481	53.073	601
53.099	477	53.125	598
53.149	475	53.175	597
53.200	473	53.226	595
53.251	471	53.276	594
53.302	470	53.327	591
53.352	469	53.378	590
53.403	467	53.429	590
53.453	467	53.479	588
53.504	468	53.530	588
53.555	468	53.580	587
53.606	470	53.631	588
53.657	470	53.682	589
53.707	471	53.733	589
53.758	474	53.783	591
53.809	477	53.834	593
53.860	479	53.884	594
53.910	481	53.936	594
53.961	483	53.986	597
54.011	484	54.037	598
54.063	484	54.087	599
54.113	485	54.138	600
54.164	487	54.189	601
54.214	487	54.240	601
54.265	484	54.290	601
54.315	483	54.341	599
54.367	483	54.391	599
54.417	481	54.442	599
54.468	479	54.493	597
54.518	477	54.544	596
54.569	475	54.594	597
54.620	473	54.645	593
54.671	471	54.695	593
54.721	471	54.747	593
54.772	470	54.797	592
54.822	470	54.848	591
54.874	469	54.898	591
54.924	468	54.949	588
54.975	470	55.000	589
55.025	472	55.051	591
55.076	473	55.101	591
55.126	475	55.152	591
55.178	478	55.202	590
55.228	478	55.253	594
55.279	480	55.304	595
55.329	481	55.355	594
55.380	483	55.405	596
55.431	484	55.456	596
55.482	483	55.506	597
55.532	484	55.558	597
55.583	483	55.608	599
55.633	482	55.659	600
55.685	482	55.709	599
55.735	483	55.760	598
55.786	480	55.811	597
55.836	479	55.862	597
55.887	477	55.912	596
55.938	476	55.963	596
55.989	474	56.013	594
56.039	473	56.064	592
56.090	472	56.115	592
56.140	470	56.166	593
56.191	471	56.216	593
56.242	471	56.267	593
56.293	472	56.317	592
56.343	472	56.369	593
56.394	473	56.419	592
56.444	473	56.470	592
56.496	475	56.520	593
56.546	477	56.571	594
56.597	478	56.622	595
56.647	479	56.673	594
56.698	480	56.724	594
56.749	479	56.774	595
56.800	481	56.825	596
56.850	482	56.875	597
56.901	482	56.927	598
56.951	483	56.977	596
