#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.302	469	31.327	544
31.353	462	31.378	543
31.403	456	31.429	542
31.454	450	31.479	543
31.505	450	31.530	542
31.556	449	31.580	541
31.606	452	31.631	541
31.657	456	31.682	542
31.707	461	31.733	542
31.758	470	31.783	543
31.809	480	31.834	544
31.860	490	31.884	542
31.910	500	31.936	542
31.961	510	31.986	543
32.011	520	32.037	542
32.063	526	32.087	543
32.113	534	32.138	543
32.164	540	32.189	543
32.214	539	32.240	544
32.265	540	32.291	543
32.316	540	32.341	544
32.367	533	32.392	543
32.417	527	32.442	543
32.468	520	32.494	544
32.518	509	32.544	542
32.569	499	32.595	543
32.620	489	32.645	543
32.671	480	32.696	543
32.721	471	32.747	543
32.772	464	32.798	543
32.822	456	32.848	541
32.874	453	32.899	543
32.924	451	32.949	542
32.975	451	33.001	542
33.025	455	33.051	543
33.076	460	33.102	543
33.127	465	33.152	542
33.178	474	33.203	543
33.228	481	33.253	542
33.279	490	33.305	541
33.329	500	33.355	542
33.380	509	33.406	542
33.431	518	33.456	543
33.482	526	33.507	543
33.532	532	33.558	543
33.583	536	33.609	542
33.633	537	33.659	542
33.685	538	33.710	543
33.735	535	33.760	543
33.786	531	33.812	543
33.836	524	33.862	543
33.887	516	33.913	544
33.938	509	33.963	543
33.989	499	34.014	543
34.039	490	34.065	543
34.090	482	34.116	541
34.140	471	34.166	543
34.191	466	34.217	543
34.242	460	34.267	542
34.293	457	34.318	542
34.343	455	34.369	541
34.394	455	34.420	543
34.444	457	34.470	542
34.496	460	34.521	543
34.546	468	34.571	543
34.597	473	34.623	541
34.647	482	34.673	543
34.698	491	34.724	543
34.749	499	34.774	543
34.800	508	34.825	544
34.850	518	34.876	541
34.901	525	34.927	543
34.951	532	34.977	543
35.002	535	35.028	542
35.053	536	35.078	542
35.104	536	35.129	544
35.154	536	35.180	542
35.205	529	35.231	543
35.255	522	35.281	544
35.307	516	35.332	543
35.357	507	35.382	543
35.408	498	35.434	542
35.458	490	35.484	542
35.509	482	35.535	542
35.560	474	35.585	542
35.611	466	35.636	542
35.661	461	35.687	542
35.712	458	35.738	541
35.762	455	35.788	540
35.813	457	35.839	543
35.864	459	35.889	540
35.915	463	35.940	542
35.965	467	35.991	543
36.016	476	36.042	542
36.066	483	36.092	542
36.118	491	36.143	542
36.168	500	36.193	542
36.219	509	36.245	544
36.269	518	36.295	542
36.320	524	36.346	543
36.371	529	36.396	543
36.422	532	36.447	542
36.472	533	36.498	541
36.523	532	36.549	542
36.573	531	36.599	543
36.625	527	36.650	542
36.675	521	36.700	542
36.726	513	36.751	542
36.776	506	36.802	542
36.827	498	36.853	542
36.877	490	36.903	542
36.929	482	36.954	544
36.979	475	37.004	544
37.030	469	37.056	542
37.080	462	37.106	543
37.131	459	37.157	543
37.182	460	37.207	543
37.233	459	37.258	542
37.283	461	37.309	542
37.334	466	37.360	543
37.384	472	37.410	543
37.436	477	37.461	543
37.486	486	37.511	542
37.537	493	37.562	542
37.587	501	37.613	543
37.638	509	37.664	541
37.688	515	37.714	542
37.740	522	37.765	543
37.790	527	37.815	542
37.841	529	37.867	542
37.891	532	37.917	543
37.942	531	37.968	543
37.993	529	38.018	542
38.044	524	38.069	543
38.094	519	38.120	543
38.145	512	38.171	542
38.195	505	38.221	543
38.247	497	38.272	543
38.297	489	38.322	544
38.348	484	38.373	543
38.398	477	38.424	544
38.449	468	38.475	543
38.499	465	38.525	543
38.551	462	38.576	542
38.601	460	38.626	543
38.652	461	38.678	542
38.702	463	38.728	542
38.753	467	38.779	542
38.804	472	38.829	543
38.855	480	38.880	542
38.905	487	38.931	544
38.956	494	38.982	542
39.006	502	39.032	542
39.058	508	39.083	543
39.108	516	39.133	543
39.159	522	39.185	544
39.209	526	39.235	542
39.260	528	39.286	543
39.310	530	39.336	543
39.362	528	39.387	542
39.412	525	39.437	541
39.463	521	39.489	542
39.513	517	39.539	542
39.564	511	39.590	543
39.615	504	39.640	543
39.666	497	39.691	541
39.716	488	39.742	541
39.767	482	39.793	544
39.817	476	39.843	541
39.869	470	39.894	542
39.919	466	39.944	542
39.970	464	39.996	542
40.020	463	40.046	542
40.071	465	40.097	542
40.121	466	40.147	543
40.173	470	40.198	542
40.223	475	40.248	543
40.274	482	40.300	541
40.324	488	40.350	542
40.375	495	40.401	543
40.426	501	40.451	542
40.477	509	40.502	543
40.527	516	40.553	543
40.578	520	40.604	541
40.628	524	40.654	543
40.680	526	40.705	542
40.730	526	40.755	541
40.781	527	40.807	541
40.831	523	40.857	542
40.882	520	40.908	544
40.932	515	40.958	544
40.984	510	41.009	543
41.034	502	41.059	542
41.085	496	41.111	543
41.135	489	41.161	542
41.186	483	41.212	542
41.237	479	41.262	541
41.288	473	41.313	543
41.338	468	41.364	543
41.389	467	41.415	542
41.439	466	41.465	543
41.491	467	41.516	542
41.541	470	41.566	542
41.592	473	41.618	542
41.642	477	41.668	542
41.693	483	41.719	543
41.743	488	41.769	542
41.795	496	41.820	543
41.846	503	41.870	544
41.896	509	41.922	543
41.947	513	41.972	542
41.997	519	42.023	543
42.049	522	42.073	542
42.099	523	42.124	542
42.150	524	42.175	544
42.200	524	42.226	542
42.251	521	42.276	542
42.302	518	42.327	541
42.353	513	42.377	542
42.403	507	42.429	543
42.454	501	42.479	541
42.504	496	42.530	542
42.556	491	42.580	544
42.606	484	42.631	542
42.657	479	42.681	542
42.707	474	42.733	542
42.758	470	42.783	543
42.808	469	42.834	541
42.860	468	42.884	543
42.910	470	42.935	543
42.961	472	42.986	544
43.011	475	43.037	543
43.062	479	43.087	542
43.113	484	43.138	543
43.164	489	43.188	542
43.214	496	43.240	541
43.265	503	43.290	542
43.315	507	43.341	542
43.367	511	43.391	543
43.417	517	43.442	543
43.468	520	43.492	543
43.518	523	43.544	541
43.569	524	43.594	543
43.619	521	43.645	541
43.671	519	43.695	543
43.721	515	43.746	542
43.772	512	43.797	543
43.822	507	43.848	543
43.873	500	43.898	543
43.924	495	43.949	543
43.975	490	43.999	543
44.025	484	44.051	543
44.076	478	44.101	542
44.126	474	44.152	542
44.178	472	44.202	543
44.228	471	44.253	542
44.279	470	44.303	542
44.329	472	44.355	543
44.380	475	44.405	543
44.430	477	44.456	544
44.482	481	44.506	543
44.532	485	44.557	541
44.583	492	44.608	542
44.633	496	44.659	543
44.684	503	44.709	542
44.735	505	44.760	541
44.786	512	44.811	541
44.836	517	44.862	542
44.887	520	44.913	542
44.937	520	44.963	543
44.989	520	45.014	543
45.039	519	45.064	542
45.090	518	45.116	542
45.140	514	45.166	545
45.191	510	45.217	543
45.241	506	45.267	542
45.293	500	45.318	543
45.343	496	45.368	543
45.394	488	45.420	542
45.444	484	45.470	543
45.495	480	45.521	542
45.546	475	45.571	541
45.597	475	45.622	543
45.647	473	45.673	542
45.698	473	45.724	544
45.748	474	45.774	544
45.800	475	45.825	543
45.850	479	45.875	543
45.901	483	45.927	542
45.951	488	45.977	543
46.002	491	46.028	542
46.052	498	46.078	542
46.104	502	46.129	543
46.154	507	46.179	542
46.205	512	46.231	542
46.255	514	46.281	543
46.306	517	46.332	542
46.357	520	46.382	542
46.408	518	46.433	544
46.458	517	46.484	542
46.509	515	46.535	542
46.559	512	46.585	542
46.611	507	46.636	542
46.661	503	46.686	543
46.712	499	46.738	542
46.762	495	46.788	541
46.813	489	46.839	542
46.863	485	46.889	542
46.915	482	46.940	543
46.965	478	46.990	543
47.016	474	47.042	543
47.066	476	47.092	542
47.117	474	47.143	542
47.168	476	47.193	542
47.219	478	47.244	544
47.269	482	47.295	543
47.320	485	47.346	543
47.370	488	47.396	543
47.422	494	47.447	544
47.472	499	47.497	543
47.523	501	47.549	542
47.573	507	47.599	541
47.624	510	47.650	541
47.674	512	47.700	544
47.726	515	47.751	543
47.776	515	47.801	542
47.827	514	47.853	542
47.877	514	47.903	543
47.928	513	47.954	542
47.979	510	48.004	543
48.030	507	48.055	543
48.081	502	48.106	542
48.131	497	48.157	542
48.182	496	48.207	544
48.233	491	48.258	542
48.284	485	48.308	543
48.334	483	48.360	543
48.385	480	48.410	542
48.435	478	48.461	542
48.487	478	48.511	542
48.537	478	48.562	542
48.588	480	48.612	542
48.638	480	48.664	542
48.689	482	48.714	543
48.739	485	48.765	542
48.791	490	48.815	543
48.841	494	48.866	544
48.892	498	48.917	543
48.942	502	48.968	543
48.993	505	49.018	543
49.044	509	49.069	542
49.095	512	49.119	541
49.145	513	49.171	542
49.196	514	49.221	543
49.246	515	49.272	542
49.298	513	49.322	542
49.348	511	49.373	542
49.399	509	49.423	543
49.449	506	49.475	543
49.500	502	49.525	543
49.550	497	49.576	541
49.602	494	49.626	543
49.652	492	49.677	544
49.703	486	49.728	542
