#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
41.896	556	41.922	677
41.947	574	41.973	684
41.997	590	42.023	683
42.049	589	42.074	672
42.099	593	42.124	651
42.150	575	42.176	628
42.200	559	42.226	598
42.251	523	42.277	572
42.302	498	42.327	536
42.353	458	42.378	507
42.403	420	42.429	462
42.454	388	42.480	438
42.504	344	42.530	400
42.556	314	42.581	384
42.606	291	42.631	373
42.657	275	42.683	368
42.707	262	42.733	368
42.758	258	42.784	376
42.809	270	42.834	402
42.860	274	42.885	426
42.910	308	42.935	446
42.961	325	42.987	486
43.011	358	43.037	511
43.062	391	43.088	555
43.113	432	43.138	578
43.164	470	43.189	612
43.214	501	43.240	642
43.265	541	43.291	667
43.315	566	43.341	674
43.367	583	43.392	683
43.417	589	43.442	671
43.468	589	43.494	669
43.518	590	43.544	644
43.569	572	43.595	632
43.620	550	43.645	596
43.671	522	43.696	566
43.721	486	43.746	533
43.772	459	43.798	498
43.822	417	43.848	461
43.873	378	43.899	441
43.924	340	43.949	410
43.975	319	44.000	387
44.026	289	44.051	383
44.076	274	44.102	370
44.127	268	44.152	380
44.178	258	44.203	384
44.229	268	44.253	404
44.279	287	44.305	430
44.330	302	44.355	460
44.380	330	44.406	487
44.432	369	44.456	522
44.482	401	44.507	556
44.533	436	44.557	589
44.583	471	44.609	617
44.634	513	44.659	631
44.684	534	44.710	656
44.736	565	44.760	671
44.786	587	44.811	673
44.837	586	44.862	665
44.887	592	44.913	660
44.938	579	44.963	644
44.989	575	45.014	627
45.040	545	45.064	592
45.090	521	45.116	560
45.141	487	45.166	535
45.191	451	45.217	503
45.243	412	45.267	467
45.293	371	45.318	432
45.344	337	45.369	416
45.394	303	45.420	396
45.445	285	45.470	394
45.495	269	45.521	375
45.547	263	45.571	382
45.597	256	45.622	390
45.648	268	45.673	409
45.698	276	45.724	429
45.749	312	45.774	462
45.800	336	45.825	493
45.851	371	45.875	515
45.901	404	45.927	557
45.952	440	45.977	583
46.002	479	46.028	605
46.054	516	46.078	636
46.104	547	46.129	651
46.155	561	46.180	662
46.205	579	46.231	664
46.256	592	46.281	664
46.306	591	46.332	655
46.358	582	46.382	638
46.408	559	46.433	617
46.459	547	46.484	585
46.509	512	46.535	556
46.560	473	46.585	531
46.611	444	46.636	492
46.662	407	46.686	473
46.712	373	46.738	442
46.763	331	46.788	420
46.813	301	46.839	406
46.865	278	46.889	390
46.915	269	46.940	387
46.966	261	46.991	395
47.016	258	47.042	400
47.067	271	47.093	412
47.117	282	47.143	432
47.169	312	47.194	459
47.219	336	47.244	495
47.270	373	47.296	515
47.320	419	47.346	552
47.371	455	47.397	577
47.422	488	47.447	607
47.473	517	47.498	636
47.523	545	47.549	650
47.574	572	47.600	652
47.624	585	47.650	655
47.676	589	47.701	662
47.726	591	47.751	648
47.777	580	47.803	637
47.827	560	47.853	617
47.878	528	47.904	585
47.929	507	47.954	565
47.980	470	48.005	533
48.030	434	48.055	495
48.081	392	48.107	474
48.131	365	48.157	439
48.182	328	48.208	422
48.233	302	48.258	414
48.284	282	48.309	402
48.334	264	48.360	389
48.385	268	48.411	395
48.435	269	48.461	397
48.487	278	48.512	413
48.537	293	48.562	436
48.588	325	48.614	463
48.638	341	48.664	492
48.689	384	48.715	521
48.740	420	48.765	555
48.791	453	48.816	578
48.841	494	48.866	606
48.892	519	48.918	625
48.942	551	48.968	646
48.993	571	49.019	648
49.044	583	49.069	657
49.095	593	49.120	659
49.145	590	49.171	644
49.196	569	49.222	632
49.246	552	49.272	615
49.298	529	49.323	588
49.348	505	49.373	558
49.399	466	49.425	526
49.449	428	49.475	495
49.500	400	49.526	476
