#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
25.116	218	25.142	743
25.168	253	25.192	709
25.218	286	25.243	661
25.269	327	25.294	608
25.319	366	25.345	554
25.370	423	25.395	512
25.421	459	25.446	471
25.472	498	25.496	437
25.522	533	25.548	405
25.573	553	25.598	381
25.623	558	25.649	376
25.675	573	25.699	390
25.725	558	25.750	405
25.776	544	25.801	436
25.826	525	25.852	473
25.877	492	25.903	511
25.927	446	25.953	565
25.979	400	26.004	608
26.029	357	26.054	670
26.080	317	26.106	709
26.130	279	26.156	747
26.181	247	26.207	781
26.232	219	26.257	808
26.283	197	26.308	821
26.333	182	26.359	816
26.384	193	26.410	799
26.434	203	26.460	777
26.486	217	26.511	751
26.536	253	26.561	705
26.587	288	26.613	666
26.637	323	26.663	619
26.688	368	26.714	564
26.739	418	26.764	517
26.790	451	26.815	472
26.840	491	26.865	441
26.891	528	26.917	408
26.941	553	26.967	385
26.992	561	27.018	383
27.043	571	27.068	384
27.094	555	27.119	402
27.144	549	27.170	431
27.195	515	27.221	466
27.245	485	27.271	516
27.297	447	27.322	560
27.347	408	27.372	609
27.398	370	27.424	649
27.448	328	27.474	710
27.499	281	27.525	747
27.550	251	27.575	778
27.601	218	27.626	803
27.651	202	27.676	814
27.702	186	27.728	817
27.752	199	27.778	800
27.803	204	27.829	790
27.854	222	27.879	750
27.905	253	27.930	719
27.955	286	27.981	680
28.006	326	28.032	624
28.056	364	28.082	575
28.108	404	28.133	524
28.158	453	28.183	487
28.209	491	28.235	442
28.259	514	28.285	412
28.310	543	28.336	394
28.361	547	28.386	390
28.412	560	28.437	390
28.462	558	28.487	399
28.513	544	28.539	435
28.563	515	28.589	462
28.614	486	28.640	504
28.665	455	28.690	552
28.716	412	28.741	599
28.766	368	28.792	650
28.817	327	28.843	695
28.867	296	28.893	736
28.919	259	28.944	766
28.969	228	28.994	800
29.020	210	29.046	805
29.070	197	29.096	807
29.121	203	29.147	802
29.172	208	29.197	792
29.223	218	29.248	762
29.273	255	29.299	718
29.324	279	29.350	680
29.374	321	29.400	631
29.425	359	29.451	585
29.476	406	29.501	533
29.527	445	29.552	497
29.578	490	29.603	447
29.628	510	29.654	419
29.679	531	29.704	403
29.730	554	29.755	387
29.781	551	29.805	395
29.831	553	29.857	409
29.882	540	29.907	421
29.932	519	29.958	462
29.984	489	30.008	496
30.034	453	30.059	546
30.085	418	30.110	593
30.135	372	30.161	629
30.186	327	30.211	687
30.236	289	30.262	729
30.288	264	30.312	760
30.338	229	30.363	793
30.389	217	30.414	810
30.439	203	30.465	805
30.490	199	30.515	804
30.541	210	30.566	789
30.592	228	30.616	757
30.642	258	30.668	721
30.693	287	30.718	689
30.743	316	30.769	635
30.795	360	30.819	589
30.845	398	30.870	547
30.896	447	30.921	501
30.946	483	30.972	455
30.997	504	31.022	433
31.047	538	31.073	411
31.099	552	31.123	398
31.149	554	31.174	388
31.200	550	31.225	399
31.250	533	31.276	424
31.301	516	31.326	460
31.352	498	31.377	499
31.403	453	31.427	536
31.453	410	31.479	578
31.504	372	31.529	636
31.554	340	31.580	685
31.606	302	31.630	721
31.656	269	31.681	756
31.707	232	31.732	777
31.757	224	31.783	794
31.808	213	31.833	800
31.859	206	31.884	799
31.910	217	31.934	782
31.960	223	31.985	762
32.011	255	32.036	733
32.061	284	32.087	687
32.112	325	32.137	642
32.163	358	32.188	600
32.214	405	32.238	550
32.264	443	32.290	498
32.315	470	32.340	470
32.365	505	32.391	434
32.417	530	32.441	420
32.467	549	32.492	392
32.518	555	32.543	391
32.568	551	32.594	403
32.619	540	32.645	419
32.670	524	32.695	453
32.721	481	32.746	495
32.771	456	32.796	529
32.822	425	32.848	582
32.872	375	32.898	627
32.923	333	32.949	671
