#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.569	387	21.595	281
21.619	391	21.645	256
21.670	394	21.696	244
21.721	400	21.746	243
21.772	402	21.797	253
21.822	408	21.848	273
21.873	410	21.899	305
21.923	414	21.949	343
21.975	415	22.000	390
22.025	417	22.050	437
22.076	418	22.102	489
22.126	417	22.152	537
22.177	417	22.203	583
22.227	416	22.253	622
22.279	415	22.304	653
22.329	413	22.354	674
22.380	412	22.406	683
22.430	409	22.456	680
22.481	407	22.507	669
22.532	406	22.557	647
22.583	405	22.608	615
22.633	403	22.659	577
22.684	403	22.710	530
22.734	402	22.760	481
22.786	402	22.811	431
22.836	402	22.861	383
22.887	402	22.913	338
22.937	401	22.963	300
22.988	402	23.014	270
23.038	402	23.064	253
23.090	402	23.115	246
23.140	402	23.165	250
23.191	401	23.217	264
23.241	401	23.267	289
23.292	400	23.318	326
23.343	400	23.368	366
23.394	399	23.419	414
23.444	398	23.470	463
23.495	399	23.521	512
23.545	400	23.571	558
23.597	400	23.622	601
23.647	402	23.672	635
23.698	404	23.724	661
23.748	406	23.774	675
23.799	408	23.825	679
23.850	409	23.875	672
23.901	413	23.926	656
23.951	414	23.976	630
24.002	416	24.028	595
24.052	418	24.078	554
24.103	419	24.129	504
24.154	420	24.179	458
24.205	419	24.230	409
24.255	417	24.281	363
24.306	416	24.332	320
24.356	413	24.382	289
24.408	409	24.433	264
24.458	406	24.483	253
24.509	401	24.535	251
24.559	398	24.585	260
24.610	393	24.636	280
24.661	389	24.686	310
24.712	386	24.737	348
24.762	384	24.787	391
24.813	382	24.839	438
24.863	382	24.889	487
24.914	382	24.940	534
24.965	385	24.990	576
25.016	388	25.041	615
25.067	393	25.092	644
25.117	398	25.143	665
25.168	403	25.193	673
25.219	410	25.244	672
25.270	416	25.294	661
25.320	422	25.346	640
25.371	427	25.396	610
25.421	431	25.447	573
25.473	434	25.497	529
25.523	435	25.548	483
25.574	435	25.598	435
25.624	434	25.650	389
25.675	431	25.700	347
25.725	427	25.751	310
25.777	420	25.801	283
25.827	413	25.852	263
25.878	406	25.903	258
25.928	399	25.954	261
25.979	390	26.004	274
26.030	382	26.055	298
26.081	376	26.105	330
26.131	371	26.157	371
26.182	368	26.207	415
26.232	366	26.258	461
26.284	367	26.308	508
26.334	368	26.359	553
26.385	373	26.410	591
26.435	379	26.461	625
26.486	387	26.511	650
26.536	396	26.562	665
26.588	406	26.612	667
26.638	415	26.663	661
26.689	424	26.714	646
26.739	434	26.765	622
