#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
40.527	487	40.552	580
40.578	484	40.602	583
40.628	480	40.654	585
40.679	477	40.704	587
40.729	474	40.755	593
40.781	470	40.805	595
40.831	467	40.856	598
40.882	464	40.906	602
40.932	461	40.958	605
40.983	459	41.009	608
41.033	456	41.059	610
41.085	458	41.110	611
41.135	458	41.160	612
41.186	460	41.212	611
41.236	462	41.262	608
41.287	465	41.313	606
41.338	467	41.363	603
41.389	470	41.414	601
41.439	474	41.465	596
41.490	479	41.516	594
41.540	482	41.566	590
41.592	485	41.617	587
41.642	487	41.667	585
41.693	488	41.719	583
41.743	488	41.769	581
41.794	489	41.820	580
41.844	488	41.870	581
41.896	486	41.921	582
41.946	483	41.971	584
41.997	482	42.023	587
42.047	477	42.073	590
42.098	475	42.124	592
42.149	472	42.174	596
42.200	468	42.225	599
42.250	465	42.276	602
42.301	462	42.327	604
42.351	460	42.377	606
42.403	460	42.428	607
42.453	459	42.478	608
42.504	459	42.530	607
42.554	461	42.580	606
42.605	461	42.631	605
42.655	466	42.681	606
42.707	467	42.732	602
42.757	471	42.782	598
42.808	474	42.834	598
42.858	478	42.884	595
42.909	481	42.935	590
42.960	484	42.985	589
43.011	486	43.036	588
43.061	487	43.087	586
43.112	486	43.138	584
43.162	487	43.188	583
43.214	486	43.239	585
43.264	485	43.289	587
43.315	482	43.341	588
43.365	480	43.391	589
43.416	477	43.442	592
43.466	474	43.492	594
43.518	470	43.543	596
43.568	468	43.593	599
43.619	465	43.645	601
43.669	464	43.695	602
43.720	462	43.746	605
43.771	461	43.796	605
43.822	461	43.847	604
43.872	461	43.898	605
43.923	461	43.949	605
43.973	464	43.999	603
44.025	467	44.050	600
44.075	470	44.100	599
44.126	472	44.152	596
44.176	474	44.202	594
44.227	477	44.253	593
44.278	480	44.303	591
44.329	482	44.354	590
44.379	484	44.404	588
44.430	486	44.456	588
44.480	485	44.506	587
44.531	485	44.557	588
44.582	485	44.607	587
44.633	484	44.658	588
44.683	482	44.709	591
44.734	479	44.760	591
44.784	477	44.810	594
44.836	473	44.861	595
44.886	470	44.911	598
44.937	469	44.963	598
44.987	467	45.013	599
45.038	465	45.064	601
45.089	463	45.114	601
45.140	462	45.165	603
45.190	462	45.215	601
45.241	464	45.267	601
45.291	465	45.317	601
45.342	466	45.368	600
45.393	466	45.418	599
45.444	469	45.469	597
45.495	472	45.520	595
45.545	473	45.571	594
45.596	476	45.621	591
45.647	478	45.672	593
45.698	481	45.722	591
45.748	483	45.774	590
45.799	484	45.824	589
45.849	484	45.875	589
45.901	484	45.925	591
45.951	483	45.976	591
46.002	483	46.026	592
46.052	482	46.078	592
46.103	479	46.128	593
46.153	477	46.179	594
46.205	473	46.229	595
46.255	473	46.280	597
46.306	470	46.331	598
46.356	467	46.382	599
46.407	466	46.432	601
46.458	464	46.483	598
46.509	464	46.533	598
46.559	464	46.585	599
46.610	464	46.635	599
46.660	465	46.686	599
46.712	466	46.736	598
46.762	469	46.787	596
46.813	471	46.838	595
46.863	472	46.889	594
46.914	474	46.939	594
46.964	477	46.990	592
47.016	479	47.040	592
47.066	479	47.091	592
47.117	482	47.142	592
47.167	482	47.193	591
47.218	482	47.243	591
47.269	484	47.294	593
47.320	483	47.344	594
47.370	481	47.396	593
47.421	480	47.446	594
47.471	478	47.497	595
47.523	476	47.547	595
47.573	474	47.598	596
47.624	473	47.649	597
47.674	472	47.700	598
47.725	468	47.750	598
47.775	467	47.801	597
47.827	467	47.851	597
47.877	465	47.902	598
47.928	465	47.953	598
47.978	466	48.004	597
48.029	467	48.054	595
48.080	468	48.105	595
48.131	468	48.155	595
48.181	470	48.207	595
48.232	472	48.257	593
48.282	474	48.308	594
48.334	476	48.358	593
48.384	478	48.409	593
48.435	478	48.460	592
48.485	480	48.511	594
48.536	480	48.562	593
48.586	480	48.612	594
48.638	480	48.663	595
48.688	480	48.713	594
48.739	480	48.765	594
48.789	479	48.815	595
48.840	477	48.866	596
48.891	477	48.916	595
48.942	475	48.967	596
48.992	474	49.018	597
49.043	472	49.069	597
49.093	469	49.119	597
49.145	468	49.170	595
49.195	468	49.220	598
49.246	468	49.272	596
49.296	468	49.322	595
49.347	468	49.373	594
49.398	469	49.423	594
49.449	469	49.474	595
49.499	471	49.524	594
49.550	472	49.576	595
49.600	473	49.626	595
49.651	473	49.677	593
49.702	473	49.727	594
49.753	476	49.778	594
49.803	478	49.829	593
49.854	479	49.880	595
49.904	479	49.930	594
49.956	479	49.981	594
50.006	479	50.031	596
50.057	479	50.083	597
50.107	479	50.133	596
