#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
52.947	441	52.973	402
52.997	435	53.023	380
53.048	428	53.074	362
53.100	418	53.124	350
53.150	408	53.175	344
53.201	397	53.226	344
53.251	387	53.277	350
53.302	377	53.327	363
53.353	368	53.378	380
53.404	362	53.428	402
53.454	357	53.480	426
53.505	354	53.530	454
53.555	354	53.581	481
53.607	357	53.631	507
53.657	361	53.682	530
53.708	369	53.732	551
53.758	377	53.784	567
53.809	388	53.834	577
53.859	400	53.885	581
53.911	411	53.935	580
53.961	422	53.986	572
54.012	434	54.037	559
54.062	441	54.088	541
54.113	448	54.138	518
54.164	453	54.189	495
54.215	456	54.239	467
54.265	454	54.291	442
54.316	451	54.341	417
54.366	446	54.392	395
54.418	437	54.442	376
54.468	427	54.493	361
54.519	416	54.543	352
54.569	403	54.595	350
54.620	390	54.645	354
54.670	379	54.696	362
54.722	368	54.746	376
54.772	359	54.797	395
54.823	352	54.848	418
54.873	348	54.899	441
54.924	346	54.949	467
54.975	348	55.000	491
55.026	352	55.050	516
55.076	359	55.102	536
55.127	368	55.152	553
55.177	379	55.203	566
55.229	392	55.253	572
55.279	405	55.304	572
55.330	418	55.354	569
55.380	431	55.406	560
55.431	442	55.456	545
55.481	451	55.507	527
55.533	458	55.557	504
55.583	462	55.608	481
55.634	462	55.659	455
55.684	460	55.710	432
55.735	455	55.760	409
55.786	447	55.811	391
55.837	437	55.861	375
55.887	425	55.913	365
55.938	410	55.963	359
55.988	397	56.014	359
56.040	382	56.064	364
56.090	370	56.115	375
56.141	358	56.165	391
56.191	349	56.217	410
56.242	344	56.268	431
56.292	340	56.318	454
56.344	340	56.369	478
56.394	343	56.419	500
56.445	350	56.471	522
