#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
26.537	264	26.563	433
26.587	295	26.613	429
26.638	330	26.664	427
26.689	370	26.714	427
26.740	410	26.765	428
26.791	452	26.816	431
26.841	490	26.867	437
26.892	523	26.917	443
26.943	551	26.968	451
26.994	570	27.018	460
27.044	580	27.070	471
27.095	581	27.120	478
27.145	572	27.171	488
27.197	556	27.221	495
27.247	531	27.272	502
27.298	499	27.322	506
27.348	463	27.374	508
27.399	424	27.424	508
27.449	384	27.475	507
27.501	344	27.525	502
27.551	308	27.576	496
27.602	276	27.627	488
27.652	252	27.678	477
27.703	236	27.728	467
27.754	229	27.779	455
27.805	229	27.829	444
27.855	240	27.881	433
27.906	257	27.931	425
27.956	283	27.982	417
28.008	316	28.032	413
28.058	351	28.083	410
28.109	391	28.133	411
28.159	430	28.185	413
28.210	467	28.235	420
28.260	501	28.286	429
28.312	531	28.336	437
28.362	554	28.387	451
28.413	568	28.438	463
28.463	573	28.489	476
28.514	571	28.539	488
28.565	558	28.590	500
28.616	539	28.640	509
28.666	512	28.692	518
28.717	478	28.742	522
28.767	442	28.793	525
28.819	404	28.843	523
28.869	367	28.894	519
28.920	330	28.944	512
28.970	299	28.996	502
29.021	270	29.046	491
29.071	250	29.097	476
29.123	240	29.147	462
29.173	237	29.198	447
29.224	241	29.249	434
29.274	255	29.300	420
29.325	276	29.350	410
29.376	303	29.401	401
29.427	336	29.451	397
29.477	371	29.503	394
29.528	409	29.553	398
29.578	446	29.604	403
29.630	481	29.654	412
29.680	511	29.705	424
29.731	536	29.755	438
29.781	553	29.807	454
29.832	563	29.858	470
29.882	564	29.908	486
29.934	557	29.959	501
29.984	542	30.009	514
30.035	519	30.061	526
30.085	491	30.111	533
30.136	456	30.162	537
30.187	423	30.212	539
30.238	386	30.263	534
30.288	351	30.314	528
30.339	319	30.365	518
30.389	290	30.415	504
30.441	267	30.466	489
30.491	253	30.516	471
30.542	246	30.568	454
30.592	248	30.618	436
30.643	256	30.669	419
30.693	272	30.719	405
30.745	295	30.770	394
30.795	323	30.820	385
30.846	356	30.872	382
30.896	390	30.922	381
30.947	425	30.973	387
30.998	458	31.023	395
31.049	490	31.074	408
31.099	516	31.125	422
31.150	536	31.176	441
31.200	548	31.226	461
31.252	554	31.277	479
31.302	552	31.327	499
31.353	541	31.379	515
31.403	524	31.429	530
31.454	500	31.480	541
31.504	471	31.530	549
31.556	439	31.581	551
31.606	405	31.631	551
31.657	371	31.683	544
31.707	340	31.733	534
31.758	310	31.784	520
31.809	288	31.834	503
31.860	269	31.885	484
31.910	260	31.936	464
31.961	256	31.987	444
32.011	260	32.037	423
32.063	272	32.088	405
32.113	290	32.138	390
32.164	314	32.190	378
32.214	343	32.240	370
32.265	374	32.291	370
32.315	407	32.341	371
32.367	439	32.392	380
32.417	469	32.442	391
32.468	496	32.494	407
32.518	517	32.544	426
32.569	533	32.595	447
32.620	540	32.645	470
32.671	543	32.696	491
32.721	537	32.747	511
32.772	523	32.798	530
32.822	505	32.848	545
32.874	480	32.899	556
