#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
42.859	296	42.884	448
42.909	318	42.935	480
42.961	350	42.985	521
43.011	384	43.036	554
43.062	405	43.086	597
43.112	450	43.138	619
43.163	481	43.189	646
43.213	508	43.239	673
43.265	539	43.290	682
43.315	549	43.340	693
43.366	571	43.392	691
43.416	566	43.442	675
43.467	578	43.493	662
43.518	563	43.543	639
43.569	551	43.594	606
43.619	532	43.645	569
43.670	504	43.696	540
43.720	467	43.746	499
43.772	441	43.797	466
43.822	409	43.847	430
43.873	373	43.899	405
43.923	341	43.949	386
43.974	316	44.000	374
44.024	299	44.050	374
44.076	280	44.101	368
44.126	273	44.151	385
44.177	279	44.203	405
44.227	286	44.253	428
44.278	302	44.304	454
44.329	322	44.354	486
44.380	348	44.405	518
44.430	381	44.456	558
44.481	411	44.507	592
44.531	449	44.557	626
44.583	487	44.608	648
44.633	519	44.658	665
44.684	539	44.710	673
44.734	559	44.760	683
44.785	571	44.811	674
44.835	578	44.861	668
44.887	579	44.912	645
44.937	564	44.962	628
44.988	552	45.014	598
45.038	529	45.064	567
45.089	499	45.115	533
45.140	470	45.165	497
45.191	434	45.216	457
45.241	407	45.267	441
45.292	370	45.318	411
45.342	330	45.368	389
45.394	309	45.419	383
45.444	295	45.469	377
45.495	282	45.521	384
45.545	271	45.571	389
45.596	267	45.622	409
45.646	282	45.672	427
45.698	300	45.723	463
45.748	323	45.773	494
45.799	352	45.825	513
45.849	388	45.875	551
45.900	426	45.926	589
45.951	453	45.976	615
46.002	486	46.027	642
46.052	519	46.078	657
46.103	543	46.129	669
46.153	560	46.179	673
46.205	575	46.230	668
46.255	580	46.280	654
46.306	577	46.332	640
46.356	570	46.382	616
46.407	551	46.433	595
46.458	523	46.483	561
46.509	497	46.534	521
46.559	465	46.584	499
46.610	423	46.636	466
46.660	393	46.686	431
46.711	359	46.737	415
46.762	331	46.787	403
46.813	303	46.838	391
46.863	280	46.889	383
46.914	280	46.940	393
46.964	276	46.990	400
47.016	268	47.041	412
47.066	278	47.091	444
47.117	302	47.143	464
47.167	322	47.193	496
47.218	358	47.244	521
47.269	392	47.294	563
47.320	426	47.345	588
47.370	462	47.395	617
47.421	495	47.447	635
47.471	518	47.497	649
47.522	542	47.548	663
47.573	568	47.598	663
47.624	567	47.649	661
47.675	580	47.700	655
47.725	576	47.751	630
47.776	562	47.801	609
47.827	544	47.852	582
47.878	520	47.902	557
47.928	488	47.954	520
47.979	456	48.004	487
48.029	423	48.055	469
48.081	387	48.105	443
48.131	354	48.156	427
48.182	330	48.206	406
48.232	294	48.258	395
48.283	282	48.308	391
48.333	266	48.359	398
48.385	262	48.409	410
48.435	274	48.460	418
48.486	281	48.511	446
48.536	305	48.562	465
48.587	329	48.612	497
48.638	368	48.663	531
48.689	399	48.713	561
48.739	434	48.765	582
48.790	474	48.815	616
48.840	496	48.866	635
48.892	529	48.916	644
48.942	552	48.967	656
48.993	569	49.018	659
49.043	580	49.069	653
49.094	578	49.119	648
49.144	573	49.170	623
49.196	561	49.220	612
49.246	536	49.271	582
49.297	519	49.322	556
49.347	486	49.373	526
49.398	452	49.423	495
49.449	417	49.474	469
49.500	386	49.524	447
49.550	352	49.576	418
49.601	313	49.626	416
49.651	298	49.677	406
49.703	274	49.727	398
49.753	269	49.778	403
49.804	281	49.829	414
49.854	275	49.880	431
49.905	290	49.930	453
49.955	315	49.981	477
50.007	342	50.031	504
50.057	367	50.082	528
50.108	403	50.133	552
50.158	441	50.184	577
50.209	478	50.234	605
50.260	510	50.285	624
50.311	535	50.335	642
50.361	552	50.387	652
50.412	565	50.437	653
50.462	579	50.488	649
50.514	583	50.538	640
50.564	567	50.589	622
50.615	557	50.640	609
50.665	543	50.691	575
50.716	515	50.742	552
50.766	479	50.792	525
50.818	447	50.843	498
50.868	409	50.893	472
50.919	377	50.945	455
50.969	347	50.995	438
51.020	307	51.046	410
51.071	296	51.096	411
51.122	277	51.147	407
51.172	270	51.198	408
51.223	271	51.249	419
